Year,Region,Building Type,gap_lag1
2001,Auckland Region,Commercial,1.3639905480052033
2002,Auckland Region,Commercial,1.4213525161804634
2003,Auckland Region,Commercial,1.4317473539429564
2004,Auckland Region,Commercial,1.3958541950628822
2005,Auckland Region,Commercial,1.3427203988908971
2006,Auckland Region,Commercial,1.3029790013188576
2007,Auckland Region,Commercial,1.3548545456486059
2008,Auckland Region,Commercial,1.3947433260076139
2009,Auckland Region,Commercial,1.3885201467471742
2010,Auckland Region,Commercial,1.380451110396379
2011,Auckland Region,Commercial,1.2402235475159307
2012,Auckland Region,Commercial,1.174797451794701
2013,Auckland Region,Commercial,1.1692413108620459
2014,Auckland Region,Commercial,1.1393691972310034
2015,Auckland Region,Commercial,1.0864169597892754
2016,Auckland Region,Commercial,1.0503717941889263
2017,Auckland Region,Commercial,0.964593053172937
2018,Auckland Region,Commercial,0.8647168117489628
2019,Auckland Region,Commercial,0.7245822755272044
2020,Auckland Region,Commercial,0.8386133101450381
2021,Auckland Region,Commercial,0.8452554165477952
2022,Auckland Region,Commercial,0.8417345307863648
2023,Auckland Region,Commercial,0.708456265510991
2024,Auckland Region,Commercial,0.6782565366720332
2001,Auckland Region,Education,0.24956452793687145
2002,Auckland Region,Education,0.21115683973549615
2003,Auckland Region,Education,0.21740799319978432
2004,Auckland Region,Education,0.2266924279958964
2005,Auckland Region,Education,0.16245088129538576
2006,Auckland Region,Education,0.07373706891392384
2007,Auckland Region,Education,-0.054192376935012554
2008,Auckland Region,Education,-0.14951217987826926
2009,Auckland Region,Education,-0.13478951408877027
2010,Auckland Region,Education,0.040638486666816576
2011,Auckland Region,Education,0.09843198438199519
2012,Auckland Region,Education,0.06428641953568803
2013,Auckland Region,Education,-0.008444411389950446
2014,Auckland Region,Education,-0.12140235651354292
2015,Auckland Region,Education,-0.1730724914670434
2016,Auckland Region,Education,-0.2058623956108594
2017,Auckland Region,Education,-0.16589952541035036
2018,Auckland Region,Education,-0.22599301353015822
2019,Auckland Region,Education,-0.35058066282609524
2020,Auckland Region,Education,-0.3489320200389505
2021,Auckland Region,Education,-0.311472370717258
2022,Auckland Region,Education,-0.2885865829931067
2023,Auckland Region,Education,-0.3298274658003084
2024,Auckland Region,Education,-0.3777500301931749
2001,Auckland Region,Farm,-0.4123944819665244
2002,Auckland Region,Farm,-0.3351059756445194
2003,Auckland Region,Farm,-0.27490230992837095
2004,Auckland Region,Farm,-0.24247272722335467
2005,Auckland Region,Farm,-0.2049203295443469
2006,Auckland Region,Farm,-0.23597542345690137
2007,Auckland Region,Farm,-0.23384244632258255
2008,Auckland Region,Farm,-0.3009366940168414
2009,Auckland Region,Farm,-0.31048346568999197
2010,Auckland Region,Farm,-0.3066638889471305
2011,Auckland Region,Farm,-0.4459822346623801
2012,Auckland Region,Farm,-0.6422204882141891
2013,Auckland Region,Farm,-0.6645045232875599
2014,Auckland Region,Farm,-0.6601308685001532
2015,Auckland Region,Farm,-0.528623208193495
2016,Auckland Region,Farm,-0.5570467897066909
2017,Auckland Region,Farm,-0.580149463074247
2018,Auckland Region,Farm,-0.7088093826374857
2019,Auckland Region,Farm,-0.8096018754032217
2020,Auckland Region,Farm,-0.7661770338925153
2021,Auckland Region,Farm,-0.7277271862468027
2022,Auckland Region,Farm,-0.7153290895485558
2023,Auckland Region,Farm,-0.8339077014267673
2024,Auckland Region,Farm,-1.0202403861017046
2001,Auckland Region,Healthcare,-1.0657862853076985
2002,Auckland Region,Healthcare,-1.0729960254679556
2003,Auckland Region,Healthcare,-1.131213751620936
2004,Auckland Region,Healthcare,-1.1943509337192557
2005,Auckland Region,Healthcare,-1.344814277185761
2006,Auckland Region,Healthcare,-1.377188539014707
2007,Auckland Region,Healthcare,-1.3876211162993997
2008,Auckland Region,Healthcare,-1.3223650754904002
2009,Auckland Region,Healthcare,-1.2488660284544615
2010,Auckland Region,Healthcare,-1.0840339086711577
2011,Auckland Region,Healthcare,-1.0553828142308355
2012,Auckland Region,Healthcare,-1.0532389624389085
2013,Auckland Region,Healthcare,-1.0699696313957245
2014,Auckland Region,Healthcare,-1.1904376278379667
2015,Auckland Region,Healthcare,-1.27070101222502
2016,Auckland Region,Healthcare,-1.3280776270834798
2017,Auckland Region,Healthcare,-1.300123885867337
2018,Auckland Region,Healthcare,-1.4036218425164915
2019,Auckland Region,Healthcare,-1.4803481192740007
2020,Auckland Region,Healthcare,-1.5280963110185466
2021,Auckland Region,Healthcare,-1.570596995118274
2022,Auckland Region,Healthcare,-1.6990952022335915
2023,Auckland Region,Healthcare,-1.693040019460974
2024,Auckland Region,Healthcare,-1.5708245020067793
2001,Auckland Region,Industrial,0.44199619166112125
2002,Auckland Region,Industrial,0.43108137130831814
2003,Auckland Region,Industrial,0.38220950757357564
2004,Auckland Region,Industrial,0.3220570755144969
2005,Auckland Region,Industrial,0.32970080439247074
2006,Auckland Region,Industrial,0.31425317902379746
2007,Auckland Region,Industrial,0.3233490980013336
2008,Auckland Region,Industrial,0.26965177258805717
2009,Auckland Region,Industrial,0.2333286570723052
2010,Auckland Region,Industrial,0.2410168272080142
2011,Auckland Region,Industrial,0.1319048006943131
2012,Auckland Region,Industrial,0.036583816986351714
2013,Auckland Region,Industrial,0.08373132909112524
2014,Auckland Region,Industrial,0.03221213027137804
2015,Auckland Region,Industrial,-0.0032964937367045977
2016,Auckland Region,Industrial,-0.01361728584788402
2017,Auckland Region,Industrial,0.034240947345847594
2018,Auckland Region,Industrial,0.11150539044636698
2019,Auckland Region,Industrial,0.048044473334292626
2020,Auckland Region,Industrial,0.11583900202806063
2021,Auckland Region,Industrial,0.14316997336699
2022,Auckland Region,Industrial,0.1336431119581425
2023,Auckland Region,Industrial,0.128047064861601
2024,Auckland Region,Industrial,0.1172565377464343
2001,Auckland Region,Residential,3.578604613833674
2002,Auckland Region,Residential,3.5652375634282016
2003,Auckland Region,Residential,3.5723987078822113
2004,Auckland Region,Residential,3.6496602907709867
2005,Auckland Region,Residential,3.741024447943282
2006,Auckland Region,Residential,3.659185839301707
2007,Auckland Region,Residential,3.565342902000374
2008,Auckland Region,Residential,3.4008480937946572
2009,Auckland Region,Residential,3.275122273106046
2010,Auckland Region,Residential,3.2262334785828504
2011,Auckland Region,Residential,3.098579609373969
2012,Auckland Region,Residential,3.0599796603216642
2013,Auckland Region,Residential,3.116517403830711
2014,Auckland Region,Residential,3.224114384331436
2015,Auckland Region,Residential,3.37663539714611
2016,Auckland Region,Residential,3.5218817635278103
2017,Auckland Region,Residential,3.625091732774603
2018,Auckland Region,Residential,3.684180232866808
2019,Auckland Region,Residential,3.627628279011735
2020,Auckland Region,Residential,3.7097712942518752
2021,Auckland Region,Residential,3.79277422367897
2022,Auckland Region,Residential,3.904556341118587
2023,Auckland Region,Residential,3.9928182213431134
2024,Auckland Region,Residential,3.9597694080009376
2001,Auckland Region,Sociocultural,-0.61603081689191
2002,Auckland Region,Sociocultural,-0.6041090909222957
2003,Auckland Region,Sociocultural,-0.6050139606053575
2004,Auckland Region,Sociocultural,-0.7224879918833373
2005,Auckland Region,Sociocultural,-0.7017512010232272
2006,Auckland Region,Sociocultural,-0.7659403874335897
2007,Auckland Region,Sociocultural,-0.6636118243567966
2008,Auckland Region,Sociocultural,-0.7791990065209884
2009,Auckland Region,Sociocultural,-0.8051797075260998
2010,Auckland Region,Sociocultural,-0.7328193903127413
2011,Auckland Region,Sociocultural,-0.6068919067532059
2012,Auckland Region,Sociocultural,-0.59735604250936
2013,Auckland Region,Sociocultural,-0.6532413310088492
2014,Auckland Region,Sociocultural,-0.7509495425181818
2015,Auckland Region,Sociocultural,-0.8107030250966059
2016,Auckland Region,Sociocultural,-0.9010400337211868
2017,Auckland Region,Sociocultural,-1.125891351946466
2018,Auckland Region,Sociocultural,-1.2609655421149686
2019,Auckland Region,Sociocultural,-1.3472123745280316
2020,Auckland Region,Sociocultural,-1.1292757456290508
2021,Auckland Region,Sociocultural,-1.068052992184005
2022,Auckland Region,Sociocultural,-1.1222615493506698
2023,Auckland Region,Sociocultural,-1.3198357735710307
2024,Auckland Region,Sociocultural,-1.3920055757640268
2001,Auckland Region,Temporary Accommodation,-1.6121275420344245
2002,Auckland Region,Temporary Accommodation,-1.6287131729877213
2003,Auckland Region,Temporary Accommodation,-1.7218212928646963
2004,Auckland Region,Temporary Accommodation,-1.7337019815217802
2005,Auckland Region,Temporary Accommodation,-1.785370705105195
2006,Auckland Region,Temporary Accommodation,-1.8693953005774873
2007,Auckland Region,Temporary Accommodation,-1.9084468233999745
2008,Auckland Region,Temporary Accommodation,-1.9853316389003544
2009,Auckland Region,Temporary Accommodation,-1.9603623476826035
2010,Auckland Region,Temporary Accommodation,-1.7821438785732324
2011,Auckland Region,Temporary Accommodation,-1.6036721025389813
2012,Auckland Region,Temporary Accommodation,-1.60217215620436
2013,Auckland Region,Temporary Accommodation,-1.648575270223457
2014,Auckland Region,Temporary Accommodation,-1.7651947924497522
2015,Auckland Region,Temporary Accommodation,-1.9093153137647159
2016,Auckland Region,Temporary Accommodation,-1.8900325973720742
2017,Auckland Region,Temporary Accommodation,-1.8552181890839137
2018,Auckland Region,Temporary Accommodation,-1.75081804250068
2019,Auckland Region,Temporary Accommodation,-1.7512933993702573
2020,Auckland Region,Temporary Accommodation,-1.58954909023221
2021,Auckland Region,Temporary Accommodation,-1.432779269313066
2022,Auckland Region,Temporary Accommodation,-1.5005658352127833
2023,Auckland Region,Temporary Accommodation,-1.697016167840613
2024,Auckland Region,Temporary Accommodation,-2.006460487748307
2001,Canterbury Region,Commercial,0.7285405233167914
2002,Canterbury Region,Commercial,0.6683363977325278
2003,Canterbury Region,Commercial,0.6824885403416259
2004,Canterbury Region,Commercial,0.7065507062525915
2005,Canterbury Region,Commercial,0.7307132381663601
2006,Canterbury Region,Commercial,0.7023985225370062
2007,Canterbury Region,Commercial,0.6811400484191497
2008,Canterbury Region,Commercial,0.6827107020817573
2009,Canterbury Region,Commercial,0.6431327879186357
2010,Canterbury Region,Commercial,0.6886373744177865
2011,Canterbury Region,Commercial,0.5647203457254628
2012,Canterbury Region,Commercial,0.5779587785652724
2013,Canterbury Region,Commercial,0.7412544897056845
2014,Canterbury Region,Commercial,0.8043827056544632
2015,Canterbury Region,Commercial,0.816949013667025
2016,Canterbury Region,Commercial,0.68584163409031
2017,Canterbury Region,Commercial,0.6959572888393133
2018,Canterbury Region,Commercial,0.6715849087581747
2019,Canterbury Region,Commercial,0.5524751309040568
2020,Canterbury Region,Commercial,0.4307909345323422
2021,Canterbury Region,Commercial,0.2959944186163588
2022,Canterbury Region,Commercial,0.1814968812625919
2023,Canterbury Region,Commercial,0.11413092985566653
2024,Canterbury Region,Commercial,0.1224755850538024
2001,Canterbury Region,Education,-0.26081393051829416
2002,Canterbury Region,Education,-0.25734691947810173
2003,Canterbury Region,Education,-0.2615482416097912
2004,Canterbury Region,Education,-0.24089153072639746
2005,Canterbury Region,Education,-0.33348944044487805
2006,Canterbury Region,Education,-0.36576039296913176
2007,Canterbury Region,Education,-0.410949833491407
2008,Canterbury Region,Education,-0.3877802256009488
2009,Canterbury Region,Education,-0.3221032070007954
2010,Canterbury Region,Education,-0.06815507130251497
2011,Canterbury Region,Education,-0.04583103305044389
2012,Canterbury Region,Education,-0.18982059002084117
2013,Canterbury Region,Education,-0.3652009764234512
2014,Canterbury Region,Education,-0.49530785948816547
2015,Canterbury Region,Education,-0.4955845975248545
2016,Canterbury Region,Education,-0.503154716046069
2017,Canterbury Region,Education,-0.4222701028467295
2018,Canterbury Region,Education,-0.407504713421071
2019,Canterbury Region,Education,-0.5522409407020703
2020,Canterbury Region,Education,-0.7074074308298322
2021,Canterbury Region,Education,-0.7348378549900092
2022,Canterbury Region,Education,-0.7745927655733791
2023,Canterbury Region,Education,-0.801122995290048
2024,Canterbury Region,Education,-0.8213995135063064
2001,Canterbury Region,Farm,0.7910608802981258
2002,Canterbury Region,Farm,0.9917127444907834
2003,Canterbury Region,Farm,1.1463011230719289
2004,Canterbury Region,Farm,1.2198039365515259
2005,Canterbury Region,Farm,1.1880737556089533
2006,Canterbury Region,Farm,1.2094832020290784
2007,Canterbury Region,Farm,1.2415203948593012
2008,Canterbury Region,Farm,1.2935348983641894
2009,Canterbury Region,Farm,1.3356594285889818
2010,Canterbury Region,Farm,1.3881316616374102
2011,Canterbury Region,Farm,1.287264992074098
2012,Canterbury Region,Farm,1.1607705185812796
2013,Canterbury Region,Farm,1.2410823592621343
2014,Canterbury Region,Farm,1.3112886771703574
2015,Canterbury Region,Farm,1.384001065874143
2016,Canterbury Region,Farm,1.303138267798154
2017,Canterbury Region,Farm,1.1660446386259329
2018,Canterbury Region,Farm,1.055750688834948
2019,Canterbury Region,Farm,0.9077968946633694
2020,Canterbury Region,Farm,0.9124275506880233
2021,Canterbury Region,Farm,0.7713947150342486
2022,Canterbury Region,Farm,0.6522227929521511
2023,Canterbury Region,Farm,0.510565063073293
2024,Canterbury Region,Farm,0.42569343412858274
2001,Canterbury Region,Healthcare,-1.332397546798485
2002,Canterbury Region,Healthcare,-1.4517261132382204
2003,Canterbury Region,Healthcare,-1.4716560345032432
2004,Canterbury Region,Healthcare,-1.544162556034614
2005,Canterbury Region,Healthcare,-1.5445797125396776
2006,Canterbury Region,Healthcare,-1.7203060557744427
2007,Canterbury Region,Healthcare,-1.7025789680702195
2008,Canterbury Region,Healthcare,-1.6518722913022859
2009,Canterbury Region,Healthcare,-1.5217423100696132
2010,Canterbury Region,Healthcare,-1.3774883912862776
2011,Canterbury Region,Healthcare,-1.4475426581976611
2012,Canterbury Region,Healthcare,-1.4207997201162978
2013,Canterbury Region,Healthcare,-1.3807466663929473
2014,Canterbury Region,Healthcare,-1.3806910538992438
2015,Canterbury Region,Healthcare,-1.4592556526469167
2016,Canterbury Region,Healthcare,-1.5363842454513268
2017,Canterbury Region,Healthcare,-1.5005977203433334
2018,Canterbury Region,Healthcare,-1.3910041949886764
2019,Canterbury Region,Healthcare,-1.5208996580935414
2020,Canterbury Region,Healthcare,-1.6320464520954587
2021,Canterbury Region,Healthcare,-1.7791274619189612
2022,Canterbury Region,Healthcare,-1.6821498174787797
2023,Canterbury Region,Healthcare,-1.6389665523381236
2024,Canterbury Region,Healthcare,-1.702689913240424
2001,Canterbury Region,Industrial,0.35152921762635536
2002,Canterbury Region,Industrial,0.3906564090654321
2003,Canterbury Region,Industrial,0.41541361452913694
2004,Canterbury Region,Industrial,0.4582080483608424
2005,Canterbury Region,Industrial,0.5126386923554476
2006,Canterbury Region,Industrial,0.5078673752320952
2007,Canterbury Region,Industrial,0.49893746134754124
2008,Canterbury Region,Industrial,0.4329229916546513
2009,Canterbury Region,Industrial,0.38960037531897296
2010,Canterbury Region,Industrial,0.41162206977020066
2011,Canterbury Region,Industrial,0.28406288821064685
2012,Canterbury Region,Industrial,0.2248462068291479
2013,Canterbury Region,Industrial,0.29187014766268504
2014,Canterbury Region,Industrial,0.36850880091001503
2015,Canterbury Region,Industrial,0.4469941261805461
2016,Canterbury Region,Industrial,0.4022663435911822
2017,Canterbury Region,Industrial,0.3391866556990344
2018,Canterbury Region,Industrial,0.2856424671388744
2019,Canterbury Region,Industrial,0.13681625460634983
2020,Canterbury Region,Industrial,0.10747379803317614
2021,Canterbury Region,Industrial,0.017219171315999482
2022,Canterbury Region,Industrial,-0.05303107301081411
2023,Canterbury Region,Industrial,-0.04278983484540699
2024,Canterbury Region,Industrial,-0.016055082796829545
2001,Canterbury Region,Residential,3.0950272623605395
2002,Canterbury Region,Residential,3.061890646597085
