Building Type,method,rmse,weight
Commercial,huber,0.04706549691549175,0.3323523924668122
Commercial,pooled,0.045902127541918754,0.34077571850661675
Commercial,gam,0.047854621437672815,0.32687188902657105
Education,huber,0.06417387876550917,0.3374903869947576
Education,pooled,0.06620434901206318,0.3271396443446751
Education,gam,0.06457962610112891,0.3353699686605674
Farm,huber,0.0702329912203439,0.35435896237943787
Farm,pooled,0.08805993434515165,0.28262217261978095
Farm,gam,0.068557566243649,0.36301886500078123
Healthcare,huber,0.074574731937105,0.33609122856883356
Healthcare,pooled,0.0767446070052154,0.3265885938373805
Healthcare,gam,0.07430303593011574,0.3373201775937859
Industrial,huber,0.052667857015091475,0.3405174935306984
Industrial,pooled,0.05486555433097539,0.32687770847740766
Industrial,gam,0.0539208296951926,0.332604797991894
Residential,huber,0.061690611913611595,0.32586925101991865
Residential,pooled,0.05938764028461399,0.33850601556601284
Residential,gam,0.05989747324340349,0.33562473341406857
Sociocultural,huber,0.07435464561977755,0.33541033524647274
Sociocultural,pooled,0.07695446357043706,0.3240788833901304
Sociocultural,gam,0.07324090153476316,0.34051078136339685
Temporary Accommodation,huber,0.15838189015876866,0.3333966237767751
Temporary Accommodation,pooled,0.16649010035054762,0.3171599233310242
Temporary Accommodation,gam,0.15110881887536784,0.3494434528922007
