Year,Region,Building Type,gap_lag1
2001,Auckland Region,Commercial,0.8970428781954034
2002,Auckland Region,Commercial,0.8578782157019411
2003,Auckland Region,Commercial,0.7749910145722971
2004,Auckland Region,Commercial,0.6362583424509651
2005,Auckland Region,Commercial,0.6685628948975051
2006,Auckland Region,Commercial,0.7707248852624993
2007,Auckland Region,Commercial,0.9067525460260555
2008,Auckland Region,Commercial,0.9846902718665262
2009,Auckland Region,Commercial,1.0031640020564225
2010,Auckland Region,Commercial,1.0115757667431566
2011,Auckland Region,Commercial,0.798805934478505
2012,Auckland Region,Commercial,0.658541261681922
2013,Auckland Region,Commercial,0.5720185171125785
2014,Auckland Region,Commercial,0.6461948895787053
2015,Auckland Region,Commercial,0.6794848331975203
2016,Auckland Region,Commercial,0.7939268459428668
2017,Auckland Region,Commercial,0.8998297747300725
2018,Auckland Region,Commercial,0.9834228896264463
2019,Auckland Region,Commercial,0.939175863075274
2020,Auckland Region,Commercial,1.0120467339049135
2021,Auckland Region,Commercial,0.8808837700210894
2022,Auckland Region,Commercial,0.8318637055565539
2023,Auckland Region,Commercial,0.8180120482407567
2024,Auckland Region,Commercial,0.9406306763211205
2001,Auckland Region,Education,-0.2921395275951717
2002,Auckland Region,Education,-0.24761596430016652
2003,Auckland Region,Education,-0.12066352564417215
2004,Auckland Region,Education,-0.0793536571735558
2005,Auckland Region,Education,0.04674558629073999
2006,Auckland Region,Education,0.05401830860419565
2007,Auckland Region,Education,0.023990401916119453
2008,Auckland Region,Education,-0.1440109389931905
2009,Auckland Region,Education,-0.137069954273354
2010,Auckland Region,Education,-0.07656444982476174
2011,Auckland Region,Education,0.05864709494749576
2012,Auckland Region,Education,0.07418036616129697
2013,Auckland Region,Education,0.04211919233230432
2014,Auckland Region,Education,-0.057833348570337506
2015,Auckland Region,Education,-0.05969915798545955
2016,Auckland Region,Education,-0.028605823619546555
2017,Auckland Region,Education,0.2119749372098525
2018,Auckland Region,Education,0.2272569799321218
2019,Auckland Region,Education,0.241019820174742
2020,Auckland Region,Education,0.21819163262135888
2021,Auckland Region,Education,0.21331833344907736
2022,Auckland Region,Education,0.37235066579583176
2023,Auckland Region,Education,0.39428138415821223
2024,Auckland Region,Education,0.3057239926898987
2001,Auckland Region,Farm,-2.166592327365077
2002,Auckland Region,Farm,-2.1069716953283724
2003,Auckland Region,Farm,-2.075230292616574
2004,Auckland Region,Farm,-2.1758552929579515
2005,Auckland Region,Farm,-2.3215279608480266
2006,Auckland Region,Farm,-2.4603881052450305
2007,Auckland Region,Farm,-2.474197607646609
2008,Auckland Region,Farm,-2.4585301074584507
2009,Auckland Region,Farm,-2.4945959446597925
2010,Auckland Region,Farm,-2.5512612672531247
2011,Auckland Region,Farm,-2.751220287865099
2012,Auckland Region,Farm,-2.8754109064966045
2013,Auckland Region,Farm,-2.765447028217853
2014,Auckland Region,Farm,-2.7313188462813365
2015,Auckland Region,Farm,-2.520105705193089
2016,Auckland Region,Farm,-2.526933442499171
2017,Auckland Region,Farm,-2.4107793049482247
2018,Auckland Region,Farm,-2.4683902118168533
2019,Auckland Region,Farm,-2.4299150105551206
2020,Auckland Region,Farm,-2.4630650092149615
2021,Auckland Region,Farm,-2.501676726256072
2022,Auckland Region,Farm,-2.5471181069013724
2023,Auckland Region,Farm,-2.6636883168769714
2024,Auckland Region,Farm,-2.8862452038143687
2001,Auckland Region,Healthcare,-0.8055410370592213
2002,Auckland Region,Healthcare,-0.509786805661669
2003,Auckland Region,Healthcare,-0.2864620000989184
2004,Auckland Region,Healthcare,-0.31784832159235776
2005,Auckland Region,Healthcare,-0.5671753506350186
2006,Auckland Region,Healthcare,-0.9807009780106526
2007,Auckland Region,Healthcare,-1.0662835377411106
2008,Auckland Region,Healthcare,-0.9680616947702632
2009,Auckland Region,Healthcare,-0.8259685172626696
2010,Auckland Region,Healthcare,-0.7279972322446255
2011,Auckland Region,Healthcare,-0.7545561773272347
2012,Auckland Region,Healthcare,-0.5438942886103284
2013,Auckland Region,Healthcare,-0.6738730139221474
2014,Auckland Region,Healthcare,-0.7538765937050123
2015,Auckland Region,Healthcare,-1.1310149628078747
2016,Auckland Region,Healthcare,-1.0314983907198645
2017,Auckland Region,Healthcare,-0.7082924379472431
2018,Auckland Region,Healthcare,-0.6516855964093118
2019,Auckland Region,Healthcare,-0.6892018557199542
2020,Auckland Region,Healthcare,-0.7024874615345418
2021,Auckland Region,Healthcare,-0.7236420379357291
2022,Auckland Region,Healthcare,-0.4504498853668366
2023,Auckland Region,Healthcare,0.024690111248560243
2024,Auckland Region,Healthcare,0.13180303222524614
2001,Auckland Region,Industrial,0.16372195030827896
2002,Auckland Region,Industrial,0.16133804905936344
2003,Auckland Region,Industrial,0.07433022368910613
2004,Auckland Region,Industrial,0.14975673954868185
2005,Auckland Region,Industrial,0.30291657736389865
2006,Auckland Region,Industrial,0.47727820030502954
2007,Auckland Region,Industrial,0.5443315881846438
2008,Auckland Region,Industrial,0.4946708679892815
2009,Auckland Region,Industrial,0.4435248249253654
2010,Auckland Region,Industrial,0.27382769365078374
2011,Auckland Region,Industrial,0.20335321881431767
2012,Auckland Region,Industrial,-0.10285907000489303
2013,Auckland Region,Industrial,-0.0032264945728499583
2014,Auckland Region,Industrial,-0.052962002726019364
2015,Auckland Region,Industrial,-0.009564052579055016
2016,Auckland Region,Industrial,0.1192565910839285
2017,Auckland Region,Industrial,0.1473851036111533
2018,Auckland Region,Industrial,0.34785243605407246
2019,Auckland Region,Industrial,0.4945502892456588
2020,Auckland Region,Industrial,0.6572084061567267
2021,Auckland Region,Industrial,0.7627161271584093
2022,Auckland Region,Industrial,0.772695874204242
2023,Auckland Region,Industrial,0.8347862296644593
2024,Auckland Region,Industrial,0.8743073830363564
2001,Auckland Region,Residential,2.3149403606327965
2002,Auckland Region,Residential,2.3114422614404972
2003,Auckland Region,Residential,2.328316640155279
2004,Auckland Region,Residential,2.465765171512796
2005,Auckland Region,Residential,2.6095990271252845
2006,Auckland Region,Residential,2.5863050452993015
2007,Auckland Region,Residential,2.4982168645842044
2008,Auckland Region,Residential,2.405001616887592
2009,Auckland Region,Residential,2.2616139229880723
2010,Auckland Region,Residential,2.146961342285241
2011,Auckland Region,Residential,1.9413781826219925
2012,Auckland Region,Residential,1.829837457568246
2013,Auckland Region,Residential,1.914611934214193
2014,Auckland Region,Residential,2.0950395413593235
2015,Auckland Region,Residential,2.3258958388607702
2016,Auckland Region,Residential,2.5420975987589394
2017,Auckland Region,Residential,2.7558127226767617
2018,Auckland Region,Residential,2.8865842139868647
2019,Auckland Region,Residential,2.9359493251111886
2020,Auckland Region,Residential,3.0180875637725286
2021,Auckland Region,Residential,3.0631629516033136
2022,Auckland Region,Residential,3.179169932008236
2023,Auckland Region,Residential,3.217187226080455
2024,Auckland Region,Residential,3.149798300811323
2001,Auckland Region,Sociocultural,-0.716991205134125
2002,Auckland Region,Sociocultural,-0.9971657587541216
2003,Auckland Region,Sociocultural,-0.941891086045036
2004,Auckland Region,Sociocultural,-0.7889691421920304
2005,Auckland Region,Sociocultural,-0.6759106124703642
2006,Auckland Region,Sociocultural,-0.5401816723503821
2007,Auckland Region,Sociocultural,-0.6378731595525089
2008,Auckland Region,Sociocultural,-0.7027683805719569
2009,Auckland Region,Sociocultural,-0.7927350647657221
2010,Auckland Region,Sociocultural,-0.3587887940757106
2011,Auckland Region,Sociocultural,-0.26981536812060014
2012,Auckland Region,Sociocultural,-0.3802051239757951
2013,Auckland Region,Sociocultural,-0.8160706977629069
2014,Auckland Region,Sociocultural,-0.9830668159655715
2015,Auckland Region,Sociocultural,-0.9405947776728532
2016,Auckland Region,Sociocultural,-0.8967145415928535
2017,Auckland Region,Sociocultural,-1.0429474458269183
2018,Auckland Region,Sociocultural,-0.7551600102556293
2019,Auckland Region,Sociocultural,-0.40545869963668935
2020,Auckland Region,Sociocultural,-0.28791075386068954
2021,Auckland Region,Sociocultural,-0.4445892009512633
2022,Auckland Region,Sociocultural,-0.8980484183865265
2023,Auckland Region,Sociocultural,-1.1327176336367515
2024,Auckland Region,Sociocultural,-1.4134377308446453
2001,Auckland Region,Temporary Accommodation,-0.6476376740585508
2002,Auckland Region,Temporary Accommodation,-1.2856614729582532
2003,Auckland Region,Temporary Accommodation,-1.7811179732798799
2004,Auckland Region,Temporary Accommodation,-1.162645309916904
2005,Auckland Region,Temporary Accommodation,-0.725201625341608
2006,Auckland Region,Temporary Accommodation,-0.6149834077740692
2007,Auckland Region,Temporary Accommodation,-0.7416291836852515
2008,Auckland Region,Temporary Accommodation,-1.1409417119433165
2009,Auckland Region,Temporary Accommodation,-1.262039262874449
2010,Auckland Region,Temporary Accommodation,-0.9775303487335805
2011,Auckland Region,Temporary Accommodation,-0.8714040851305711
2012,Auckland Region,Temporary Accommodation,-0.9501017877946971
2013,Auckland Region,Temporary Accommodation,-1.1410845245308963
2014,Auckland Region,Temporary Accommodation,-0.6931414512428766
2015,Auckland Region,Temporary Accommodation,-0.7619632637603289
2016,Auckland Region,Temporary Accommodation,-0.5915263296187021
2017,Auckland Region,Temporary Accommodation,-0.6244053591299803
2018,Auckland Region,Temporary Accommodation,-0.13061506256451594
2019,Auckland Region,Temporary Accommodation,0.02461268352011814
2020,Auckland Region,Temporary Accommodation,0.15276798694043947
2021,Auckland Region,Temporary Accommodation,0.11922163487318826
2022,Auckland Region,Temporary Accommodation,0.04617363673684949
2023,Auckland Region,Temporary Accommodation,-0.18136756618796213
2024,Auckland Region,Temporary Accommodation,-0.49930549503302046
2001,Canterbury Region,Commercial,0.19136277495015008
2002,Canterbury Region,Commercial,0.04850565027425091
2003,Canterbury Region,Commercial,0.1780747282034021
2004,Canterbury Region,Commercial,0.16344223474566988
2005,Canterbury Region,Commercial,0.33944007174466506
2006,Canterbury Region,Commercial,0.3848847993366853
2007,Canterbury Region,Commercial,0.5657676253310413
2008,Canterbury Region,Commercial,0.63206211882963
2009,Canterbury Region,Commercial,0.6456742788510361
2010,Canterbury Region,Commercial,1.011056689639208
2011,Canterbury Region,Commercial,0.984778486269132
2012,Canterbury Region,Commercial,0.990275361331868
2013,Canterbury Region,Commercial,0.9085550128707638
2014,Canterbury Region,Commercial,1.1310288999176095
2015,Canterbury Region,Commercial,1.57482088158633
2016,Canterbury Region,Commercial,1.7481998894164619
2017,Canterbury Region,Commercial,1.7454969560622935
2018,Canterbury Region,Commercial,1.5177683175100078
2019,Canterbury Region,Commercial,1.2181089959968006
2020,Canterbury Region,Commercial,0.9824576288201463
2021,Canterbury Region,Commercial,0.6144109861335778
2022,Canterbury Region,Commercial,0.31326373457570256
2023,Canterbury Region,Commercial,0.24519050615061388
2024,Canterbury Region,Commercial,0.24675399239013984
2001,Canterbury Region,Education,-0.7280287045251974
2002,Canterbury Region,Education,-0.5838591052073632
2003,Canterbury Region,Education,-0.539581909331524
2004,Canterbury Region,Education,-0.584730469237126
2005,Canterbury Region,Education,-0.5459784738271587
2006,Canterbury Region,Education,-0.5838909767350451
2007,Canterbury Region,Education,-0.6314368135456618
2008,Canterbury Region,Education,-0.6726261726169511
2009,Canterbury Region,Education,-0.3968744351608642
2010,Canterbury Region,Education,-0.15065712712718238
2011,Canterbury Region,Education,0.014550832225747712
2012,Canterbury Region,Education,-0.09426958916631278
2013,Canterbury Region,Education,-0.1296915698498573
2014,Canterbury Region,Education,-0.1100544009359048
2015,Canterbury Region,Education,-0.05135832214090996
2016,Canterbury Region,Education,0.733250897128702
2017,Canterbury Region,Education,1.0050389654063636
2018,Canterbury Region,Education,1.117103109626754
2019,Canterbury Region,Education,0.9807329564067615
2020,Canterbury Region,Education,0.8173703486131352
2021,Canterbury Region,Education,0.6431164650494274
2022,Canterbury Region,Education,0.5394961307759907
2023,Canterbury Region,Education,0.5094484426480079
2024,Canterbury Region,Education,0.6694533805852423
2001,Canterbury Region,Farm,-1.4943903580237325
2002,Canterbury Region,Farm,-1.2215295510140542
2003,Canterbury Region,Farm,-1.0699788006193458
2004,Canterbury Region,Farm,-0.9859982892376671
