,Northland Region,Auckland Region,Waikato Region,Bay of Plenty Region,Gisborne Region,Hawke's Bay Region,Taranaki Region,Manawatu-Wanganui Region,Wellington Region,Tasman Region,Nelson Region,Marlborough Region,West Coast Region,Canterbury Region,Otago Region,Southland Region,North Island,South Island,New Zealand
1996,"140,700","1,115,800","358,800","230,600","47,200","146,600","109,000","234,500","426,900","38,800","41,200","39,200","33,200","480,400","189,300","99,000","2,810,100","921,100","3,732,000"
1997,"142,100","1,146,700","362,700","235,400","46,900","147,400","108,600","233,800","431,200","39,400","41,700","39,600","32,900","485,400","189,300","97,400","2,854,800","925,700","3,781,300"
1998,"143,300","1,169,000","365,600","239,600","46,600","147,600","108,100","232,500","433,900","40,200","42,000","40,000","32,500","488,800","188,900","95,500","2,886,300","928,000","3,815,000"
1999,"143,800","1,184,800","366,900","242,500","46,400","147,300","107,300","231,200","435,800","40,800","42,300","40,300","31,900","491,100","188,200","93,700","2,906,000","928,300","3,835,100"
2000,"144,400","1,201,500","368,100","245,200","46,100","147,300","106,500","229,900","437,500","41,600","42,600","40,500","31,400","493,600","188,100","92,700","2,926,400","930,500","3,857,700"
2001,"144,400","1,218,300","368,400","246,900","45,500","147,300","105,700","227,500","440,200","42,400","42,900","40,700","31,100","496,700","188,300","93,300","2,944,300","935,400","3,880,500"
2002,"146,000","1,255,800","373,400","250,700","45,500","148,500","105,900","227,800","445,800","43,200","43,100","41,200","31,100","505,100","191,000","93,500","2,999,500","948,200","3,948,500"
2003,"147,900","1,297,600","379,200","255,000","45,800","149,400","106,600","228,700","452,300","44,100","43,600","41,800","31,400","515,500","193,500","94,100","3,062,500","964,000","4,027,200"
2004,"149,500","1,326,000","384,500","259,100","45,800","150,400","106,800","229,200","457,800","45,000","44,000","42,500","31,500","524,800","195,900","94,100","3,109,000","977,800","4,087,500"
2005,"151,000","1,348,900","388,700","262,200","45,900","151,200","106,800","228,900","461,600","45,500","44,100","43,000","31,800","531,900","197,900","93,700","3,145,400","987,800","4,133,900"
2006,"152,700","1,373,000","393,200","265,300","46,000","152,100","107,300","229,400","466,300","45,800","44,300","43,600","32,100","540,000","199,800","93,200","3,185,100","998,800","4,184,600"
2007,"154,700","1,390,400","397,300","267,900","46,000","152,900","107,600","228,700","469,300","46,200","44,700","43,800","32,300","547,400","201,000","93,100","3,214,700","1,008,400","4,223,800"
2008,"156,300","1,405,500","401,600","270,200","46,000","153,500","108,300","228,600","471,800","46,500","45,200","44,200","32,400","553,800","202,100","93,300","3,241,700","1,017,400","4,259,800"
2009,"158,200","1,421,700","406,600","272,700","46,300","154,500","109,300","229,300","475,600","46,900","45,800","44,400","32,700","560,600","203,300","93,900","3,274,500","1,027,500","4,302,600"
2010,"160,600","1,439,600","412,400","275,700","46,700","156,300","110,700","230,400","479,400","47,400","46,500","44,600","32,800","567,700","204,600","94,700","3,311,700","1,038,400","4,350,700"
2011,"162,500","1,459,600","417,300","278,200","46,800","157,300","111,800","231,300","483,400","48,200","47,500","44,700","33,100","559,300","206,600","95,700","3,348,100","1,035,200","4,384,000"
2012,"163,500","1,476,500","421,500","278,800","47,000","157,500","112,700","231,200","485,100","48,600","48,200","44,600","33,100","556,000","207,400","95,900","3,373,700","1,033,700","4,408,100"
2013,"164,700","1,493,200","424,600","279,700","47,000","158,000","113,600","231,200","486,700","48,800","48,700","44,700","33,000","562,900","208,800","96,000","3,398,700","1,042,800","4,442,100"
2014,"168,200","1,520,400","432,400","286,100","47,500","160,800","115,000","234,200","493,800","49,700","49,600","45,400","32,900","570,600","212,500","96,800","3,458,300","1,057,600","4,516,500"
2015,"172,100","1,552,800","442,100","293,200","48,100","163,700","116,600","237,400","501,800","50,700","50,500","46,200","32,800","585,600","217,400","97,700","3,527,700","1,081,000","4,609,400"
2016,"176,400","1,589,800","452,800","301,500","48,800","166,900","118,500","241,100","510,700","51,900","51,400","47,100","32,900","601,900","223,100","99,000","3,606,300","1,107,200","4,714,100"
2017,"181,200","1,625,100","465,000","311,500","49,200","169,700","120,000","244,300","518,300","53,000","52,000","47,900","32,700","614,300","228,800","99,900","3,684,400","1,128,500","4,813,600"
2018,"185,800","1,654,800","475,600","320,800","49,500","172,400","121,200","247,500","525,900","54,000","52,700","48,700","32,400","622,800","235,000","100,500","3,753,700","1,146,200","4,900,600"
2019,"188,000","1,680,500","483,900","327,100","50,300","173,800","123,100","250,300","530,900","54,900","53,200","49,100","32,700","632,000","238,400","101,400","3,808,000","1,161,700","4,970,300"
2020,"192,700","1,712,000","496,500","336,800","51,400","177,700","125,100","253,700","537,900","57,200","54,500","50,800","33,300","645,900","244,000","102,200","3,883,800","1,187,900","5,072,400"
2021,"195,600","1,704,000","501,400","340,000","51,700","178,500","126,600","255,200","537,300","57,900","54,100","50,800","33,500","652,600","243,400","101,400","3,890,200","1,193,700","5,084,600"
2022,"197,000","1,694,400","504,300","341,000","51,800","177,700","127,500","255,400","532,900","58,400","53,900","50,500","33,600","658,300","243,400","101,000","3,881,900","1,199,100","5,081,700"
2023,"198,500","1,755,200","516,800","346,500","52,300","179,000","129,400","257,800","538,000","59,100","54,300","50,800","33,900","676,600","248,500","102,700","3,973,400","1,226,100","5,200,000"
2024,"200,800","1,797,300","527,600","351,700","53,000","181,100","130,500","261,100","541,500","59,800","54,400","51,600","34,300","687,100","251,300","103,800","4,044,600","1,242,300","5,287,500"
